Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,P1,P2,P3,P4,P5,P6,P7,P8,Course,recommended_career_target
5,7,13,15,13,17,17,14,1,0,1,3,1,1,3,1,Unknown,Criminologist
7,6,14,18,12,17,20,13,0,1,1,3,1,3,3,1,Unknown,Criminologist
6,8,15,18,12,17,15,13,0,1,1,3,1,3,3,0,Unknown,Criminologist
6,9,12,15,12,15,19,14,0,0,1,3,1,1,1,0,Unknown,Criminologist
7,6,13,19,13,15,15,12,1,1,1,3,0,1,1,1,Unknown,Criminologist
7,6,12,16,13,17,19,12,1,0,0,3,0,1,1,1,Unknown,Criminologist
10,8,13,17,12,17,18,12,0,0,3,3,0,1,3,1,Unknown,Criminologist
9,8,11,17,10,16,19,12,0,1,0,3,0,3,3,0,Unknown,Criminologist
8,7,13,15,13,19,20,12,0,1,0,3,0,3,1,0,Unknown,Criminologist
9,8,13,17,13,17,20,12,0,0,1,3,1,3,1,0,Unknown,Criminologist
8,7,12,19,13,17,19,13,1,1,0,3,0,3,3,0,Unknown,Criminologist
7,8,13,17,13,15,18,14,1,0,1,3,1,3,3,0,Unknown,Criminologist
7,7,13,19,12,17,18,13,0,0,1,3,1,3,1,1,Unknown,Criminologist
6,7,11,15,12,17,17,13,0,0,1,3,1,3,3,1,Unknown,Criminologist
8,8,10,15,13,16,16,14,1,0,1,3,0,3,3,1,Unknown,Criminologist
6,8,13,18,11,19,20,15,0,1,1,3,1,1,3,1,Unknown,Criminologist
7,8,13,15,12,16,18,13,1,0,1,3,1,3,3,0,Unknown,Criminologist
6,9,11,15,12,17,20,13,1,0,1,3,1,3,1,1,Unknown,Criminologist
5,9,13,17,12,19,16,13,0,0,1,3,0,1,1,1,Unknown,Criminologist
5,8,13,18,15,16,13,12,0,0,1,3,0,3,3,0,Unknown,Criminologist
7,9,13,16,12,16,17,14,1,0,0,3,1,3,1,0,Unknown,Criminologist
13,12,5,18,6,19,20,12,1,0,0,3,0,3,3,3,Unknown,Criminologist
6,8,12,19,13,15,16,16,0,1,1,3,1,3,3,3,Unknown,Criminologist
8,9,12,17,12,20,18,15,0,0,1,3,0,3,3,1,Unknown,Criminologist
6,7,13,17,14,19,17,11,1,1,0,3,1,1,3,1,Unknown,Criminologist
9,8,13,18,13,17,18,14,0,0,0,3,1,3,3,1,Unknown,Criminologist
10,7,12,18,13,18,18,12,0,0,1,3,0,3,3,0,Unknown,Criminologist
5,9,12,16,14,16,17,11,0,1,1,3,1,1,1,0,Unknown,Criminologist
6,6,13,16,12,19,17,13,0,0,1,3,1,1,3,0,Unknown,Criminologist
6,7,14,18,13,16,20,12,0,0,0,3,0,1,1,1,Unknown,Criminologist
7,7,11,18,13,20,20,13,0,0,0,3,1,3,1,1,Unknown,Criminologist
7,8,11,15,12,17,19,13,1,0,1,3,1,3,3,1,Unknown,Criminologist
7,7,13,16,12,17,15,14,0,1,1,3,3,3,3,1,Unknown,Criminologist
6,9,12,17,12,14,19,13,1,0,0,3,1,3,1,1,Unknown,Criminologist
